specobjid,z,class,subclass,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
2501874176432826368,0.05897063,QSO,STARBURST BROADLINE,1177.4,2150.045,-18.73977,1126.438,886.6225,0.4123738,0.7871025,1.908711,0.02191551
2528789395910191104,0.0863796,QSO,AGN BROADLINE,1177.4,2033.969,-13.28217,1131.383,1020.123,0.5015432,0.9016601,1.797772,0.01130901
2635889799428335616,0.05196881,GALAXY,,1177.4,23.66694,-0.3344702,32.00087,16.04282,0.6778576,0.5013244,0.7395718,0.02441659
443704376071055360,0.1038223,GALAXY,,1177.4,10.95932,-0.2289201,18.34904,11.69727,1.067335,0.6374867,0.5972697,0.02405703
445932259879446528,0.2942613,QSO,BROADLINE,1177.4,2682.965,-16.98236,1132.911,364.8781,0.1359981,0.3220712,2.368204,0.0362667
448110941716899840,0.05435418,QSO,BROADLINE,1177.4,2138.112,-15.47931,1174.936,4931.464,2.306458,4.197221,1.81977,0.04571947
466212752742967296,0.1846759,QSO,STARBURST BROADLINE,1177.4,3112.576,-20.72246,1306.929,1473.042,0.4732547,1.127101,2.381596,0.1184658
493249743921637376,0.1568366,QSO,BROADLINE,1177.4,1328.481,-6.315646,1036.297,1016.134,0.7648842,0.9805437,1.28195,0.04993869
511330938165159936,0.05919914,GALAXY,BROADLINE,1177.4,33.56794,-0.394253,46.41902,43.83395,1.305828,0.9443101,0.7231506,0.03877603
536072155624925184,0.05026412,QSO,STARBURST BROADLINE,1177.4,3685.079,-28.08086,1811.943,2367.825,0.642544,1.306788,2.033772,0.06889841
3118861839753046016,0.1965366,QSO,STARBURST BROADLINE,1177.4,4131.215,-18.49032,1683.841,1147.471,0.2777563,0.6814605,2.453447,0.02233633
3133439989782702080,0.05502648,GALAXY,,1177.4,51.18768,-0.6243421,47.54509,32.1122,0.6273425,0.6754051,1.076613,0.01821248
565354893062203392,0.2201104,QSO,STARBURST BROADLINE,1177.4,832.4188,-13.21841,395.5272,347.4914,0.4174479,0.8785526,2.10458,0.06144398
582189241841248256,0.07723631,QSO,STARBURST BROADLINE,1177.4,2203.247,-17.19365,1166.518,1940.391,0.880696,1.663404,1.888738,0.03000705
