RAJ2000,DEJ2000,plate,fiberid,mjd,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,specobjid,z,h_beta_flux,fwhm_hbeta
202.08597,31.25702,2110,440,53467,-23.08,45.132,0.022,42.53,0.02,9181.4,467.9,112.7,6.1,21.72,8.92,0.05,-1.89,2375769807883626496,0.2396989,128.4532,1177.4
202.13576,-2.55595,910,167,52377,-22.55,45.051,0.002,41.85,0.04,11553.9,2295.6,31.2,3.4,19.97,9.08,0.17,-2.13,1024614859716716544,0.1839719,65.9139,633.4653
202.38034,7.48587,1801,358,54156,-22.69,45.246,0.005,42.27,0.04,5078.4,1384.6,50.2,5.0,22.47,8.46,0.24,-1.32,2027844208240388096,0.2775687,128.327,782.5838
202.39761,22.26957,2653,372,54230,-22.82,45.158,0.006,42.27,0.03,3591.8,216.7,58.7,4.8,18.67,8.12,0.05,-1.06,2987114778402514944,0.2904827,170.442,1177.4
202.47862,18.34492,2641,284,54230,-22.83,45.298,0.004,42.11,0.03,8583.9,730.7,29.1,2.3,28.86,8.94,0.07,-1.75,2973579790264592384,0.1882003,153.3029,473.3097
202.55186,18.43524,2641,269,54230,-22.57,45.022,0.008,42.19,0.04,4150.9,567.5,67.3,7.3,15.92,8.17,0.12,-1.25,2973575667095988224,0.2595482,143.6215,1177.4
202.81516,14.98049,1774,602,53759,-22.42,45.065,0.003,42.35,0.02,3864.3,302.3,84.9,4.2,20.38,8.13,0.07,-1.17,1997511974304376832,0.231364,266.3202,1177.4
202.96628,5.06267,852,625,52375,-22.45,44.881,0.005,42.1,0.02,7477.5,461.5,76.7,4.8,17.76,8.61,0.05,-1.83,959438559167670272,0.1739949,100.2148,370.2148
203.17159,30.0185,2110,43,53467,-22.35,45.103,0.004,42.12,0.04,5882.8,375.4,47.9,4.2,16.05,8.52,0.06,-1.51,2375660681354569728,0.2203435,110.4959,1177.4
203.22195,2.01269,527,33,52342,-22.7,45.163,0.004,42.08,0.06,6166.0,830.1,39.3,5.9,15.97,8.59,0.12,-1.53,593358361169258496,0.2158184,90.17809,705.9321
203.37274,15.76389,2606,44,54154,-22.72,45.142,0.006,42.58,0.02,10086.8,517.5,123.3,7.7,19.93,9.01,0.04,-1.96,2934107321552365568,0.2461739,117.0851,996.5603
203.43948,41.69104,1464,415,53091,-23.13,45.152,0.008,42.44,0.1,4403.8,362.1,85.1,18.0,20.44,8.29,0.07,-1.24,1648431589807384576,0.2252122,359.2988,1177.4
203.59711,43.72549,1344,487,52792,-22.67,45.247,0.003,42.4,0.06,2708.1,212.9,61.7,6.9,17.19,7.92,0.07,-0.77,1513343387179182080,0.2250107,403.0176,1177.4
203.63452,30.27863,2110,14,53467,-22.52,45.116,0.003,41.81,0.04,3773.8,831.5,22.7,2.3,16.03,8.14,0.19,-1.12,2375652709895268352,0.2226619,98.33443,1177.4
